Stock,Group,Region,Metric,Category,Use,Threshold Value High,Threshold Value Low,Reverse,Mean,Stdev,Max,Min,Value,Quality,Order1,Order2,Rank0,Flag,Rank
POP,Rockfish,GOA,Recreational Index,Socioeconomic,No,,,No,26021.22222,41188.18114,122501,7,7,2,45,,0,,0.111
POP,Rockfish,GOA,Lat_Min,Ecosystem,No,,,,32.90322581,6.657202872,54,17,24,3,63,,0.189189189,,0.076
POP,Rockfish,GOA,Feeding Larvae Duration,Ecosystem,No,,,,115.530303,47.80264431,182,30,45,1,40,,0.098684211,,0.062
POP,Rockfish,GOA,Long_Max,Ecosystem,No,,,,128.5294118,21.19496123,180,109,110,3,66,,0.014084507,,0.034
POP,Rockfish,GOA,Non-Catch Value,Socioeconomic,Yes,,,No,1.967391304,1.419711136,5,0,0,3,33,,0,,0
POP,Rockfish,GOA,Spawning Aggregation,Ecosystem,No,,,No,2.695652174,0.702901946,3,1,1,1,36,,0,,0
POP,Rockfish,GOA,Recreational Fishery Importance,Socioeconomic,No,,,No,0.239795918,0.530229863,2.25,0,0,2,47,,0,,0
Pollock,Roundfish,GOA,Commercial Value,Socioeconomic,No,1773862.26,339838.64,No,13744471.18,50904942.78,367726626,0,40456541,3,44,49,0.110017981,1,0.918
Pollock,Roundfish,GOA,Fecundity,Ecosystem,Yes,1000,100000,Yes,571096.8333,910959.2328,3700000,4.5,587878,3,15,7,0.841115077,,0.273
Pollock,Roundfish,GOA,Maximum Length,Ecosystem,Yes,155,55,No,97.91666667,58.28052897,195,16,105,3,9,20,0.497206704,,0.627
Pollock,Roundfish,GOA,Depth Range,Ecosystem,Yes,100,,Yes,406.2096774,393.8530614,2000,75,300,3,12,6,0.883116883,,0.574
Pollock,Roundfish,GOA,Maximum Age,Ecosystem,Yes,25,10,No,44.24074074,38.06941782,157,2,31,3,7,37,0.187096774,1,0.49
Pollock,Roundfish,GOA,Age at 1st Maturity,Ecosystem,Yes,5,2,No,6.517241379,4.789278872,19,1,3.5,3,4,42,0.138888889,,0.285
Pollock,Roundfish,GOA,Breeding Strategy Index,Ecosystem,Yes,4,0,No,2.35483871,2.158450979,8,0,0,3,16,65,0,,0
Pollock,Roundfish,GOA,Geographic Concentration,Ecosystem,Yes,3,1,No,1.778846154,0.812967582,3,1,2,3,14,18,0.5,,0.47
