SOURCE_TARGET_NAME,PRODUCT,REPORT_CARD_TITLE,Intended ESP,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,ORDER,ORDER2
ANN_RKCR_TAC_UTIL_BBRKC,Annual_Red_King_Crab_TAC_Utilization_BBRKC_Fishery,Percentage of annual Bristol Bay red king crab total allowable catch that was harvested by active vessels,Bristol Bay Red King Crab,2020,2020,NA,2021,1,1,41,13
SUM_SOCK_ABUND_EBS,Summer_Sockeye_Salmon_Abundance_EBS_Survey,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,42,14
SPR_COROSION_BBRKC,Spring_Corrosivity_Index_BBRKC_Model,Spring aragonite index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,43,15
SPR_PH_BBRKC,Spring_pH_BBRKC_Model,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,44,16
SUM_BENINV_BIOM_BBRKC,Summer_Benthic_Invertebrate_Biomass_BBRKC_Survey,Summer benthic invertebrate biomass in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,45,17
SUM_BTM_TEMP_BBRKC_SURVEY,Summer_Temperature_Bottom_BBRKC_Survey,Summer bottom temperatures in the BBRKC management area from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,46,18
SUM_COLD_POOL_SEBS_BBRKC_MOD,Summer_Cold_Pool_SEBS_BBRKC_Model,Summer cold pool estimated from the Bering10K ROMS-NPZ model for the Bristol Bay crab management area,Bristol Bay Red King Crab,2020,2020,NA,2021,1,1,47,19
SUM_COLD_POOL_SEBS_BBRKC,Summer_Cold_Pool_SEBS_BBRKC_Survey,Summer cold pool extent (nmi) in Bristol Bay from the AFSC eastern Bering Sea bottom trawl survey,Bristol Bay Red King Crab,2021,2021,NA,NA,-1,1,48,20
SUM_RKC_FEM_AREA_OCC_BBRKC,Summer_Red_King_Crab_Female_Area_Occupied_BBRKC_Model,Summer mature female red king crab area occupied in Bristol Bay from the AFSC eastern Bering Sea bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,49,21
SUM_RKC_AREA_OCC_BBRKC,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,50,22
